Index,SMILES,Name,Classe
22,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N/O)/C3=CSC(=N3)N)SC1)C(=O)O,Cefdinir        ,1
23,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O,Cefdinir        ,1
24,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O,Cefdinir        ,1
25,C=CC1=C(N2C([C@@H](C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)SC1)C(=O)O,Cefdinir        ,1
26,C=CC1=C(N2[C@H]([C@@H](C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O,Cefdinir        ,1
27,C=CC1=C(N2[C@H]([C@H](C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)SC1)C(=O)O,Cefdinir        ,1
28,C=CC1=C(N2[C@@H](C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O,Cefdinir        ,1
29,C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-],Cefepime,1
30,C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N/OC)/C4=CSC(=N4)N)SC2)C(=O)[O-],Cefepime,1
31,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],Cefepime,1
32,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)/C(=N/OC)/C4=CSC(=N4)N)SC2)C(=O)[O-],Cefepime,1
33,C[N+]1(CCCC1)CC2=C(N3[C@H]([C@H](C3=O)NC(=O)/C(=N/OC)/C4=CSC(=N4)N)SC2)C(=O)[O-],Cefepime,1
34,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-],Cefepime,1
35,C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],Cefepime,1
36,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Cefixime,1
37,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N/OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Cefixime,1
38,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O,Cefixime,1
39,C=CC1=C(N2[C@H]([C@@H](C2=O)NC(=O)/C(=N/OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Cefixime,1
40,C=CC1=C(N2[C@@H](C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O,Cefixime,1
41,C=CC1=C(N2C(C(C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Cefixime,1
42,C=CC1=C(N2[C@H]([C@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Cefixime,1
43,C=CC1=C(N2C([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Cefixime,1
44,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)O,Cefotaxime,1
45,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O,Cefotetan,1
46,CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3,Cefoxitin,1
47,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=C4CCC5)C(=O)[O-],Cefpirome ,1
48,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=C4CCC5)C(=O)O,Cefpirome ,1
49,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=C4CCC5)C(=O)O.OS(=O)(=O)[O-],Cefpirome ,1
50,COCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)O,Cefpodoxime,1
51,C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O,Cefprozil,1
52,C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O.O,Cefprozil,1
53,CCO/N=C(/C1=NSC(=N1)NP(=O)(O)O)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)[O-],Ceftaroline,1
54,CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],Ceftazidime,1
55,CC(C)(C(=O)O)O/N=C(\C1=CSC(=N1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],Ceftazidime,1
56,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],Ceftazidime,1
57,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],Ceftazidime,1
58,CC(C)(C(=O)O)O/N=C(\C1=CSC(=N1)N)/C(=O)N[C@H]2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],Ceftazidime,1
59,CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@@H]2[C@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],Ceftazidime,1
60,CC(C)(C(=O)O)O/N=C(\C1=CSC(=N1)N)/C(=O)N[C@@H]2[C@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],Ceftazidime,1
61,C1CNC[C@@H]1N2CC/C(=C\C3=C(N4[C@@H]([C@@H](C4=O)NC(=O)/C(=N\O)/C5=NSC(=N5)N)SC3)C(=O)O)/C2=O,Ceftobiprole,1
62,C1CNC[C@@H]1N2CC/C(=C\C3=C(N4[C@@H]([C@@H](C4=O)NC(=O)/C(=N/O)/C5=NSC(=N5)N)SC3)C(=O)O)/C2=O,Ceftobiprole,1
63,C1CNC[C@H]1N2CC/C(=C\C3=C(N4[C@H]([C@H](C4=O)NC(=O)/C(=N\O)/C5=NSC(=N5)N)SC3)C(=O)O)/C2=O,Ceftobiprole,1
64,C1CNCC1N2CC/C(=C/C3=C(N4C(C(C4=O)NC(=O)/C(=N/O)/C5=NSC(=N5)N)SC3)C(=O)O)/C2=O,Ceftobiprole,1
65,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O,Ceftriaxone     ,1
66,CN1C(=NC(=O)C(=N1)[O-])SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-].[Na+].[Na+],Ceftriaxone     ,1
67,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-].[Na+],Ceftriaxone     ,1
68,CN1C(=NC(=O)C(=N1)[O-])SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-],Ceftriaxone     ,1
69,CO/N=C(/C1=CC=CO1)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,Cefuroxime,1
70,CO/N=C(\C1=CC=CO1)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,Cefuroxime,1
71,CON=C(C1=CC=CO1)C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,Cefuroxime,1
72,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,Cefuroxime,1
73,CO/N=C(\C1=CC=CO1)/C(=O)N[C@H]2[C@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,Cefuroxime,1
74,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O,Cephalexin,1
75,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CCC[C@H](C(=O)O)N)SC1)C(=O)O,Cephalosporin C,1
76,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O,Cephalothin     ,1
77,C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)O,Clavulanic acid ,1
78,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,Cloxacillin,1
79,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,Dicloxacillin,1
80,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)CNS(=O)(=O)N)C(=O)O)[C@@H](C)O,Doripenem       ,1
81,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)[C@@H](C)O,Ertapenem,1
82,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)[C@H]3CCCO3)C(=O)O)O,Faropenem ,1
83,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,Flucloxacillin,1
84,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O,Imipenem,1
85,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N=CN3CCCCCC3)C(=O)O)C,Mecillinam,1
86,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,Meropenem,1
87,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3=C(C=CC=C3OC)OC)C(=O)O)C,Methicillin,1
88,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCN(C4=O)S(=O)(=O)C)C(=O)O)C,Mezlocillin,1
89,CCOC1=C(C2=CC=CC=C2C=C1)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,Nafcillin,1
90,C1[C@@H](C(=O)N1[C@H](C2=CC=C(C=C2)O)C(=O)O)NC(=O)/C(=N\O)/C3=CC=C(C=C3)OCC[C@H](C(=O)O)N,Nocardicin A,1
91,C1[C@@H](C(=O)N1[C@H](C2=CC=C(C=C2)O)C(=O)O)NC(=O)/C(=N/O)/C3=CC=C(C=C3)OCC[C@H](C(=O)O)N,Nocardicin A,1
92,C1C(C(=O)N1C(C2=CC=C(C=C2)O)C(=O)O)NC(=O)C(=NO)C3=CC=C(C=C3)OCCC(C(=O)O)N,Nocardicin A,1
93,C1[C@@H](C(=O)N1C(C2=CC=C(C=C2)O)C(=O)O)NC(=O)C(=NO)C3=CC=C(C=C3)OCCC(C(=O)O)N,Nocardicin A,1
94,C1[C@@H](C(=O)N1[C@@H](C2=CC=C(C=C2)O)C(=O)O)NC(=O)/C(=N\O)/C3=CC=C(C=C3)OCC[C@@H](C(=O)O)N,Nocardicin A,1
95,C1[C@@H](C(=O)N1C(C2=CC=C(C=C2)O)C(=O)O)NC(=O)/C(=N/O)/C3=CC=C(C=C3)OCC[C@H](C(=O)O)N,Nocardicin A,1
96,C1C(C(=O)N1C(C2=CC=C(C=C2)O)C(=O)O)NC(=O)/C(=N/O)/C3=CC=C(C=C3)OCCC(C(=O)O)N,Nocardicin A,1
97,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,Oxacillin,1
98,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)S[C@H]3CCN(C3)C(=N)C)O,Panipenem,1
99,CC([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)S[C@H]3CCN(C3)C(=N)C)O,Panipenem,1
100,CC(C1C2CC(=C(N2C1=O)C(=O)O)SC3CCN(C3)C(=N)C)O,Panipenem,1
101,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)S[C@@H]3CCN(C3)C(=N)C)O,Panipenem,1
102,CC(C(=O)N[C@H]1[C@@H]2N(C1=O)[C@H](C(S2)(C)C)C(=O)O)OC3=CC=CC=C3,Pheneticillin,1
103,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,Piperacillin,1
104,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,Piperacillin,1
105,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.O,Procaine penicillin,1
106,C[C@H]1C=C(CN1)C2=CSC(=N2)SC3=C(N4[C@H]([C@H]3C)[C@H](C4=O)[C@@H](C)O)C(=O)O,Razupenem,1
107,CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C,Sulbactam,1
108,C[C@@]1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)CN3C=CN=N3,Tazobactam,1
0,O=C(O)C=1C(=O)C(O)(CC(=O)C1N)C2OC(COC(=O)C)C(OC(=O)C(N=CS)=CC)C(OC3OC(C)C(O)C(OC)C3)C2O,"5-{6-[(acetyloxy)methyl]-3-hydroxy-4-[(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy]-5-({2-[(sulfanylmethylidene)amino]but-2-enoyl}oxy)oxan-2-yl}-2-amino-5-hydroxy-3,6-dioxocyclohex-1-ene-1-carboxylic acid",0
1,O=C1OC2C(O)C=CC3C4=C5C(=O)C=6C(OC)=CC=C(OC)C6C(=O)C5=C(OC)C=C4CC32C(O)C7=CC(=CC(OC)=C17)C,"20,30-dihydroxy-5,9,12,25-tetramethoxy-27-methyl-22-oxaheptacyclo[15.13.0.0¹,²¹.0³,¹⁶.0⁶,¹⁵.0⁸,¹³.0²⁴,²⁹]triaconta-3,5,8,10,12,15,18,24(29),25,27-decaene-7,14,23-trione",0
2,O=C1OC2C(O)C=CC3C4=C5C(=O)C=6C=CC=C(O)C6C(=O)C5=C(OC)C=C4CC32C(O)C7=CC(=CC(OC)=C17)C,"9,20,30-trihydroxy-5,25-dimethoxy-27-methyl-22-oxaheptacyclo[15.13.0.0¹,²¹.0³,¹⁶.0⁶,¹⁵.0⁸,¹³.0²⁴,²⁹]triaconta-3,5,8(13),9,11,15,18,24(29),25,27-decaene-7,14,23-trione",0
3,O=C(OC1CC(C)(CCOC(=O)C(C)(C)C)C2CC(C)(C)CC2C1OC(=O)C=3C=CC=CC3)C=4C=CC=CC4,"5-(benzoyloxy)-7-{2-[(2,2-dimethylpropanoyl)oxy]ethyl}-2,2,7-trimethyl-octahydro-1H-inden-4-yl benzoate",0
4,O=C1OC2C(O)C=CC3C4=C5C(=O)C=6C=CC=C(O)C6C(=O)C5=C(O)C=C4CC32C(O)C7=CC(=CC(OC)=C17)C,"5,9,20,30-tetrahydroxy-25-methoxy-27-methyl-22-oxaheptacyclo[15.13.0.0¹,²¹.0³,¹⁶.0⁶,¹⁵.0⁸,¹³.0²⁴,²⁹]triaconta-3,5,8(13),9,11,15,18,24(29),25,27-decaene-7,14,23-trione",0
5,O=C1OC(C)C(O)C12C(O)C(O)CCC2C,"4,6,7-trihydroxy-3,10-dimethyl-2-oxaspiro[4.5]decan-1-one",0
6,O=C1OC2C(OC(=O)C)C=CC3C4=C5C(=O)C=6C(OC(=O)C)=CC=C(OC(=O)C)C6C(=O)C5=C(OC(=O)C)C=C4CC32C(OC(=O)C)C7=CC(=CC(OC(=O)C)=C17)C,"9,12,20,25,30-pentakis(acetyloxy)-27-methyl-7,14,23-trioxo-22-oxaheptacyclo[15.13.0.0¹,²¹.0³,¹⁶.0⁶,¹⁵.0⁸,¹³.0²⁴,²⁹]triaconta-3,5,8,10,12,15,18,24(29),25,27-decaen-5-yl acetate",0
7,O=C(OCCC1(C)CC(OC(=O)C)C(OC(=O)C)C2CC(C)(C)CC21)C,"2-[6,7-bis(acetyloxy)-2,2,4-trimethyl-octahydro-1H-inden-4-yl]ethyl acetate",0
8,O=CCC1(C)CC(=O)C(O)C2CC(C)(C)CC21,"2-(7-hydroxy-2,2,4-trimethyl-6-oxo-octahydro-1H-inden-4-yl)acetaldehyde",0
9,O=C1C=2C=CC=C(OC)C2C(=O)C3=C(OC)C=C4C(=C13)C5C=CC(=O)C6(O)C(=O)C7=C(OC)C=C(C=C7C(=O)C56C4)C,"21-hydroxy-5,9,24-trimethoxy-26-methylheptacyclo[15.12.0.0¹,²¹.0³,¹⁶.0⁶,¹⁵.0⁸,¹³.0²³,²⁸]nonacosa-3,5,8(13),9,11,15,18,23(28),24,26-decaene-7,14,20,22,29-pentone",0
10,O=C1C=2C=CC=C(O)C2C(=O)C3=C(O)C=C4C(=C13)C5C=CC(=O)C6(O)C(=O)C7=C(O)C=C(C=C7C(=O)C56C4)C,"5,9,21,24-tetrahydroxy-26-methylheptacyclo[15.12.0.0¹,²¹.0³,¹⁶.0⁶,¹⁵.0⁸,¹³.0²³,²⁸]nonacosa-3,5,8(13),9,11,15,18,23(28),24,26-decaene-7,14,20,22,29-pentone",0
11,IC1=C(OC)C=C(OC)C2=C1OC(C3=CC=C(OC)C(OC)=C3)C(OC)C2,"2-(3,4-dimethoxyphenyl)-8-iodo-3,5,7-trimethoxy-3,4-dihydro-2H-1-benzopyran",0
12,O=C(OC=1C(I)=C2OC(C=3C=CC=CC3)CCC2=C(OC)C1C)C,"8-iodo-5-methoxy-6-methyl-2-phenyl-3,4-dihydro-2H-1-benzopyran-7-yl acetate",0
13,O=C(OC=1C=C(OC)C2=C(OC(C=3C=CC=CC3)CC2)C1I)C,"8-iodo-5-methoxy-2-phenyl-3,4-dihydro-2H-1-benzopyran-7-yl acetate",0
14,O=C(OC=1C(Cl)=C(OC)C2=C(OC(C=3C=CC=CC3)CC2)C1Cl)C,"6,8-dichloro-5-methoxy-2-phenyl-3,4-dihydro-2H-1-benzopyran-7-yl acetate",0
15,O=C(OC1=CC=C(C=CC)C=C1C(=C)C2=CC(C=3OC4=CC=C(C=CC)C=C4C3)=C(OC)C=C2OC(=O)C)C5=CC=C(O)C=C5,2-{1-[2-(acetyloxy)-4-methoxy-5-[5-(prop-1-en-1-yl)-1-benzofuran-2-yl]phenyl]ethenyl}-4-(prop-1-en-1-yl)phenyl 4-hydroxybenzoate,0
16,OC1=CC=C(C=CC)C=C1C(=C)C2=CC(C=3OC4=CC=C(C=CC)C=C4C3)=C(OC)C=C2O,2-{1-[2-hydroxy-5-(prop-1-en-1-yl)phenyl]ethenyl}-5-methoxy-4-[5-(prop-1-en-1-yl)-1-benzofuran-2-yl]phenol,0
17,O=C1C=2C(OC)=C(Cl)C(OC)=C(Cl)C2OC(C3=CC=C(OC)C(Cl)=C3)C1,"6,8-dichloro-2-(3-chloro-4-methoxyphenyl)-5,7-dimethoxy-3,4-dihydro-2H-1-benzopyran-4-one",0
18,O=C1C=2C(OC)=C(Cl)C(OC)=C(Cl)C2OC(C3=CC=C(OC)C=C3)C1,"6,8-dichloro-5,7-dimethoxy-2-(4-methoxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one",0
19,O=C1C=2C(OC(C=3C=CC=CC3)C1)=CC=C(Cl)C2OC,"6-chloro-5-methoxy-2-phenyl-3,4-dihydro-2H-1-benzopyran-4-one",0
20,OC1=CC=C(C=C1)C=2OC3=CC=C(C=C3C2C)C4C=5C=C6OC(C7=CC=C(O)C=C7)=C(C6=CC5C(CC)C4C)C,"4-{5-ethyl-7-[2-(4-hydroxyphenyl)-3-methyl-1-benzofuran-5-yl]-3,6-dimethyl-5H,6H,7H-indeno[5,6-b]furan-2-yl}phenol",0
21,O=C(OC(C=C(C)C)C(=O)C(C)C1CCC(C=C)(C)C21C(=O)OC3=CC(OC)=CC=C3C2=O)C,"6-{5'-ethenyl-7-methoxy-5'-methyl-2,4-dioxo-2,4-dihydrospiro[1-benzopyran-3,1'-cyclopentan]-2'-yl}-2-methyl-5-oxohept-2-en-4-yl acetate",0
22,O=C(O)C1ON=C(C=2C=CC=CC2)C1C(=O)O,"3-phenyl-4,5-dihydro-1,2-oxazole-4,5-dicarboxylic acid",0
23,ClC(=NO)CC=1ON=C(C1)C=2C=CC=CC2,"N-hydroxy-2-(3-phenyl-1,2-oxazol-5-yl)ethanecarbonimidoyl chloride",0
24,N=1OC(C=COC)=CC1C=2C=CC=CC2,"5-(2-methoxyethenyl)-3-phenyl-1,2-oxazole",0
25,N=1OC(=CC1C=2ON=C(C2)C3=CC=CC=C3)C=4C=CC=CC4,"5-phenyl-3-(3-phenyl-1,2-oxazol-5-yl)-1,2-oxazole",0
26,OC1=CC=C(C=C1)C2OC3=CC=C(C=C3C2C)C=C(C)C(C4=CC=C5OC(C6=CC=C(O)C=C6)C(C5=C4)C)CC,"4-(5-{3-[2-(4-hydroxyphenyl)-3-methyl-2,3-dihydro-1-benzofuran-5-yl]-2-methylpent-1-en-1-yl}-3-methyl-2,3-dihydro-1-benzofuran-2-yl)phenol",0
27,O=C(OCC1=C2C(=O)C(OC(=O)C)C2(C)C3CC(C)(C)CC3C1OC(=O)C)C,"[1,4-bis(acetyloxy)-6,6,7b-trimethyl-2-oxo-1H,2H,4H,4aH,5H,6H,7H,7aH,7bH-cyclobuta[e]inden-3-yl]methyl acetate",0
28,ON=CC1=NOC(=C1)C=2ON=C(C=NO)C2,"N-[(5-{3-[(hydroxyimino)methyl]-1,2-oxazol-5-yl}-1,2-oxazol-3-yl)methylidene]hydroxylamine",0
29,N=1OC=CC1C2=NOC(=C2)C=3ON=C(C3)C=4ON=C(C4)C5=NOC(=C5)C6=NOC(=C6)C=7ON=C(C7)C8=NOC=C8,"5-{5-[3-(1,2-oxazol-3-yl)-1,2-oxazol-5-yl]-1,2-oxazol-3-yl}-3-(5-{5-[3-(1,2-oxazol-3-yl)-1,2-oxazol-5-yl]-1,2-oxazol-3-yl}-1,2-oxazol-3-yl)-1,2-oxazole",0
