"ChEMBL ID"	"Name"	"Synonyms"	"Type"	"Max Phase"	"Molecular Weight"	"Targets"	"Bioactivities"	"AlogP"	"Polar Surface Area"	"HBA"	"HBD"	"#RO5 Violations"	"#Rotatable Bonds"	"Passes Ro3"	"QED Weighted"	"CX Acidic pKa"	"CX Basic pKa"	"CX LogP"	"CX LogD"	"Aromatic Rings"	"Structure Type"	"Inorganic Flag"	"Heavy Atoms"	"HBA (Lipinski)"	"HBD (Lipinski)"	"#RO5 Violations (Lipinski)"	"Molecular Weight (Monoisotopic)"	"Molecular Species"	"Molecular Formula"	"Smiles"
"CHEMBL406245"	""	""	"Small molecule"	"0"	"1118.20"	"3"	"3"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1117.4287"	"None"	"C50H63N13O15S"	"C[C@@H](c1ccccc1)[C@@H]1NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](O)[C@@H]2CN=C(N)N2[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)NC(=O)[C@H]([C@H](O)[C@@H]2CN=C(N)N2)NC(=O)[C@@H](Cc2ccc3nc(SCc4ccccc4)oc3c2)NC1=O"
"CHEMBL412678"	""	""	"Small molecule"	"0"	"1146.21"	"3"	"3"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1145.4236"	"None"	"C51H63N13O16S"	"C[C@@H](c1ccccc1)[C@@H]1NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](O)[C@@H]2CN=C(N)N2[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)NC(=O)[C@H]([C@H](O)[C@@H]2CN=C(N)N2)NC(=O)[C@@H](Cc2ccc3nc(SCC(=O)c4ccccc4)oc3c2)NC1=O"
"CHEMBL2103905"	"PECOCYCLINE"	"PECOCYCLINE"	"Small molecule"	"0"	"585.61"	""	""	"0.17"	"208.17"	"11"	"7"	"3"	"5"	"N"	"0.23"	"2.72"	"8.18"	"-4.81"	"-6.37"	"1"	"MOL"	"0"	"42"	"13"	"7"	"3"	"585.2322"	"ACID"	"C29H35N3O10"	"CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC(C(=O)O)C2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12"
"CHEMBL2107413"	"GLOXIMONAM"	"GLOXIMONAM|SQ 82531"	"Small molecule"	"0"	"471.49"	""	""	"-0.39"	"171.74"	"12"	"2"	"1"	"9"	"N"	"0.21"	"10.94"	"3.28"	"0.22"	"0.22"	"1"	"MOL"	"0"	"32"	"13"	"3"	"1"	"471.1424"	"NEUTRAL"	"C18H25N5O8S"	"CO/N=C(\C(=O)N[C@@H]1C(=O)N(OCC(=O)OCC(=O)OC(C)(C)C)[C@H]1C)c1csc(N)n1"
"CHEMBL2109120"	"DIPHTHERIA TOXIN FOR SCHICK TEST"	"DIPHTHERIA TOXIN FOR SCHICK TEST|DIPHTHERIA TOXIN, DIAGNOSTIC"	"Unknown"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3989602"	"NEOMYCIN UNDECYLENATE"	"NEOMYCIN UNDECYLENATE"	"Small molecule"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL486174"	"PECILOCIN"	"PECILOCIN|VARIOTIN"	"Small molecule"	"0"	"291.39"	"21"	"30"	"2.75"	"57.61"	"3"	"1"	"0"	"7"	"N"	"0.58"	"None"	"None"	"2.40"	"2.40"	"0"	"MOL"	"0"	"21"	"4"	"1"	"0"	"291.1834"	"NEUTRAL"	"C17H25NO3"	"CCCC[C@@H](O)/C=C(C)/C=C/C=C/C(=O)N1CCCC1=O"
"CHEMBL3989499"	"TACAPENEM"	"TACAPENEM"	"Small molecule"	"0"	"326.37"	""	""	"-0.24"	"106.94"	"5"	"3"	"0"	"4"	"N"	"0.62"	"3.67"	"None"	"-1.78"	"-5.09"	"0"	"MOL"	"0"	"22"	"7"	"3"	"0"	"326.0936"	"ACID"	"C14H18N2O5S"	"C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3CNC(=O)C3)[C@H](C)[C@H]12"
"CHEMBL2107918"	"ORIENTIPARCIN"	"ORIENTIPARCIN"	"Unknown"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3989429"	"ETISOMICIN"	"BAY V1 4718|ETISOMICIN"	"Small molecule"	"0"	"461.56"	""	""	"-3.46"	"213.72"	"12"	"8"	"2"	"7"	"N"	"0.19"	"12.55"	"9.62"	"-3.96"	"-11.17"	"0"	"MOL"	"0"	"32"	"12"	"12"	"2"	"461.2849"	"BASE"	"C20H39N5O7"	"CCN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O"
"CHEMBL8965"	"ROSARAMICIN"	"ROSAMICIN|ROSARAMICIN|Rosaramicin|SCH 14947"	"Small molecule"	"0"	"581.75"	"4"	"13"	"2.67"	"135.13"	"10"	"2"	"1"	"6"	"N"	"0.27"	"12.82"	"7.68"	"2.68"	"2.21"	"0"	"MOL"	"0"	"41"	"10"	"2"	"1"	"581.3564"	"NEUTRAL"	"C31H51NO9"	"CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C"
"CHEMBL4594323"	"HEPCIDIN"	"HEPCIDIN"	"Protein"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL263998"	""	""	"Small molecule"	"0"	"1312.10"	"4"	"5"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1310.3039"	"None"	"C64H56Cl2N8O19"	"CNC(=O)[C@@H]1NC(=O)C2NC(=O)C(NC(=O)C3NC(=O)C4NC(=O)C(Cc5ccc(c(Cl)c5)Oc5cc3cc(c5O)Oc3ccc(cc3Cl)C2O)NC(=O)C(NC(=O)OC(C)(C)C)c2ccc(O)c(c2)Oc2cc(O)cc4c2)c2ccc(O)c(c2)-c2c(O)cc(O)cc21"
"CHEMBL263367"	"EVERNIMICIN"	"EVERNIMICIN|SCH 27899|Ziracin"	"Oligosaccharide"	"0"	"1631.42"	"4"	"8"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"0"	"None"	"None"	"None"	"None"	"1629.5066"	"None"	"C70H97Cl2NO38"	"COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@@]4(OC[C@@H](OC(=O)c5c(C)cc(O)cc5O)[C@@H]5OCO[C@H]54)O[C@H]3[C@H]2O)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@@H]2O[C@H](C)[C@H]3O[C@]4(C[C@@H](O)[C@H](O[C@H]5C[C@@H](O[C@H]6C[C@](C)([N+](=O)[O-])[C@@H](OC)[C@H](C)O6)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@]3(C)[C@@H]2O)[C@H]1O"
"CHEMBL406040"	""	""	"Small molecule"	"0"	"1207.46"	"2"	"3"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1206.2209"	"None"	"C52H50N14O9S6"	"CNC(=O)C[C@@H]1NC(=O)c2csc(n2)-c2ccc(-c3nc(C(=O)N4CC(C(N)=O)C4)cs3)nc2-c2csc(n2)-c2csc(n2)C(C(O)c2ccccc2)NC(=O)CNC(=O)c2nc(sc2COC)[C@H](C(C)C)NC(=O)c2nc1sc2C"
"CHEMBL4297077"	"APICYCLINE"	"APICYCLINE|RIT 1140"	"Small molecule"	"0"	"630.65"	""	""	"-1.56"	"231.64"	"13"	"8"	"3"	"7"	"N"	"0.16"	"2.78"	"8.77"	"-6.59"	"-7.67"	"1"	"MOL"	"0"	"45"	"15"	"8"	"3"	"630.2537"	"ZWITTERION"	"C30H38N4O11"	"CN(C)[C@@H]1C(O)=C(C(=O)NC(C(=O)O)N2CCN(CCO)CC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12"
"CHEMBL2107704"	"TRIAFUNGIN"	"EU-3325|TRIAFUNGIN"	"Small molecule"	"0"	"222.25"	""	""	"2.01"	"51.56"	"4"	"0"	"0"	"2"	"N"	"0.67"	"None"	"3.07"	"1.77"	"1.77"	"3"	"MOL"	"0"	"17"	"4"	"0"	"0"	"222.0905"	"NEUTRAL"	"C13H10N4"	"c1ccc(Cc2nnc3ccncc3n2)cc1"
"CHEMBL3989770"	"TALISOMYCIN"	"BU-2231A|TALISOMYCIN|TALLYSOMYCIN A"	"Unknown"	"0"	"1731.89"	""	""	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"0"	"None"	"None"	"None"	"None"	"1730.7352"	"None"	"C68H110N22O27S2"	"Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)CC(=O)N[C@H](C(=O)NC(O[C@@H]1O[C@@H](C)[C@@H](N)[C@@H](O)[C@H]1O)C(O)c1nc(-c2nc(C(=O)NCCCC(N)CC(=O)NCCCNCCCCN)cs2)cs1)[C@@H](C)O)[C@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1"
"CHEMBL2108218"	"ALEXOMYCIN"	"ALEXOMYCIN|U-82127"	"Unknown"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL97972"	"PYRROLNITRIN"	"52230|PYRROLNITRIN"	"Small molecule"	"0"	"257.08"	"11"	"14"	"3.90"	"58.93"	"2"	"1"	"0"	"2"	"N"	"0.65"	"None"	"None"	"3.85"	"3.85"	"2"	"MOL"	"0"	"16"	"4"	"1"	"0"	"255.9806"	"NEUTRAL"	"C10H6Cl2N2O2"	"O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl"
"CHEMBL2105321"	"RANIMYCIN"	"RANIMYCIN|U-25,873"	"Small molecule"	"0"	"258.27"	""	""	"-0.69"	"104.06"	"6"	"3"	"0"	"5"	"N"	"0.45"	"12.70"	"None"	"-0.69"	"-0.69"	"0"	"MOL"	"0"	"18"	"6"	"3"	"0"	"258.1103"	"NEUTRAL"	"C12H18O6"	"CCCCC(=O)OC1C(C=O)=CC(O)C(O)C1O"
"CHEMBL2109031"	"CACTINOMYCIN"	"ACTINOMYCIN C|CACTINOMYCIN|H.B.F. 386"	"Unknown"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108748"	"PARTRICIN"	"PARTRICIN|SPA-S-132"	"Unknown"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL4297080"	"MEGLUCYCLINE"	"MEGLUCYCLINE"	"Small molecule"	"0"	"635.62"	""	""	"-3.24"	"269.81"	"15"	"11"	"3"	"6"	"N"	"0.11"	"2.85"	"8.63"	"-6.12"	"-6.18"	"1"	"MOL"	"0"	"45"	"16"	"11"	"3"	"635.2326"	"ZWITTERION"	"C29H37N3O13"	"CN(C)[C@@H]1C(O)=C(C(=O)NCN[C@H]2[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]2O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12"
"CHEMBL4594229"	"PROPIKACIN"	"PROPIKACIN|UK-31,214"	"Small molecule"	"0"	"557.60"	""	""	"-8.34"	"314.87"	"17"	"13"	"3"	"10"	"N"	"0.12"	"12.39"	"9.41"	"-8.06"	"-13.54"	"0"	"MOL"	"0"	"38"	"17"	"17"	"3"	"557.2908"	"BASE"	"C21H43N5O12"	"NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](NC(CO)CO)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O"
"CHEMBL2111127"	"OXIFUNGIN"	"OXIFUNGIN"	"Small molecule"	"0"	"240.27"	""	""	"2.12"	"58.54"	"5"	"2"	"0"	"3"	"N"	"0.86"	"None"	"6.71"	"1.58"	"1.50"	"2"	"MOL"	"0"	"18"	"5"	"2"	"0"	"240.1011"	"NEUTRAL"	"C13H12N4O"	"c1ccc(OCC2=Nc3cnccc3NN2)cc1"
"CHEMBL291595"	""	""	"Small molecule"	"0"	"829.09"	"3"	"3"	"2.16"	"197.90"	"16"	"5"	"2"	"8"	"N"	"0.24"	"11.30"	"14.34"	"2.41"	"-1.10"	"1"	"MOL"	"-1"	"58"	"16"	"5"	"2"	"828.5460"	"BASE"	"C42H76N4O12"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@](O)(c3nccn3C)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O"
"CHEMBL3989466"	"ASTROMICIN SULFATE"	"ABBOTT-44747|ASTROMICIN SULFATE|FORTIMICIN A"	"Small molecule"	"0"	"601.65"	""	""	"-3.59"	"192.54"	"10"	"6"	"1"	"6"	"N"	"0.26"	"13.16"	"9.80"	"-3.96"	"-9.73"	"0"	"MOL"	"0"	"28"	"11"	"10"	"2"	"405.2587"	"BASE"	"C17H39N5O14S2"	"CO[C@H]1[C@@H](O)[C@H](N)[C@@H](O[C@H]2O[C@H]([C@H](C)N)CC[C@H]2N)[C@H](O)[C@@H]1N(C)C(=O)CN.O=S(=O)(O)O.O=S(=O)(O)O"
"CHEMBL3545060"	"ERYTHROMYCIN GLUCEPTATE"	"ERYTHROMYCIN GLUCEPTATE|ERYTHROMYCIN GLUCOHEPTONATE|ILOTYCIN GLUCEPTATE|Ilotycin"	"Small molecule"	"4"	"960.12"	""	""	"1.79"	"193.91"	"14"	"5"	"2"	"7"	"N"	"0.24"	"12.45"	"8.38"	"2.60"	"1.57"	"0"	"MOL"	"0"	"51"	"14"	"5"	"2"	"733.4612"	"NEUTRAL"	"C44H81NO21"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O.O=C(O)[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO"
